Question,Answer
How many days do we have in a week,Seven
How many days are there in a normal year,Three Hundred Sixty Five
How many colors are there in a rainbow,Seven
Which animal is known as the  Ship of the Desert,Camel
How many letters are there in the English alphabet,Twenty Six
How many consonants are there in the English alphabet,Twenty one
How many sides are there in a triangle,Three
Which month of the year has the least number of days,February
Which are the vowels in the English alphabet,A and E and I and O and U
Which animal is called King of Jungle,Lion
How many primary colors are there,Three that is Red yellow and blue
How many days are there in the month of February in a leap year,29 days
Which is the largest animal in the world,Blue whale
Which is the tallest animal on the earth,Giraffe
Which festival is known as the festival of colors,Holi
Which festival is called the festival of light,Diwali
What is the top color in a rainbow,Red
What type of bird lays the largest eggs,Ostrich
Which festival is known as the Festival of flowers,Onam
Which is the world’s largest flow,Rafflesia
How many weeks are there in one year,Fivety Two
Which are the colors in a rainbow,Violet Indigo Blue  Green Yellow Orange Red
How many bones does an adult human have,206
Who was the first man to walk on the moon,Neil Armstrong
Which is the nearest star to planet earth,Sun
Which is the longest river on the earth,Neal 
Which is the principal source of energy for earth,Sun
How many lungs does the human body have,Two
What is the standard taste of the water,Mount Everest
Which is the fastest animal on the land,Cheetah
Which continent is known as Dark continent,Africa
Which planet is known as the Red Planet,Mars
Which is the most sensitive organ in our body,Skin
Which is the largest ocean in the world,Pacific Ocean
Which day is observed as World Environment Day,Jun-22
Which is the largest country in the world,Russia�
How many players are there in a cricket team,Elaven
Which place is known as the roof of the world,Tibet
How many teeth does a healthy adult have including the wisdom teeth,32
Which gas is most abundant in the earths atmosphere,�Nitrogen
How many people are there in the world,Over 7 billion
Which is the continent with the most number of countries,Africa
Which is the most common non contagious disease in the world,Tooth Decay
How many strings does a violin have,Four
How many planets are there in our solar system,9
Which is the hottest continent on Earth,Africa
Which is the smallest continent in the world,Australia
How many years are there in a millennium,1000
Which country is home to the kangaro,Australia
Who painted the Mona Lisa,Leonardo da Vinci
What does the Internet prefix WWW stand for,World Wide Web
How much of Earths surface is covered by ocean,71
How many stars are there in the American flag,What do you call a type of shape that has five sides
Which is the coldest location in the earth,East Antarctica
Which is the most widely spoken language in the world,Mandarin�
Which two parts of the body continue to grow for your entire life,Nose and Ears
The largest Democracy in the world,India
Which is the largest plateau in the world,Tibetan Plateau
Which is the instrument used to measure Blood pressure,Sphygmomanometer
What color symbolizes peace,White
Global warming is caused by the excess of which type of gas,Carbon dioxide
How many cards are there in a complete pack of cards,52
What is the name of the biggest rain forest in the world,The Amazon
Which African nation is famous for chocolate,Ghana
What makes up  approx 80 percent of our brains volume,Water
Which instrument is used for measuring wind speed,Anemometer
Stars and Stripes is the nickname of the flag of which country,United States of America
Which language is used by the computer to process data,Binary language
What covers approximately 71 of the Earths surface  Land or water,Water
Which is the hardest substance available on earth,Diamond
Which is the biggest desert in the world,Sahara desert
Which country gifted The Statue of Liberty to the United States,France
What is the name of the Greek God of music,Apollo
Which is the first element on the periodic table of elements,Hydrogen
Which is the longest written Constitution in the world,India
What is the largest joint in the human body,Knee
Which is the smallest bone in the human body,Stapes that is ear bon
Which is the largest continent in the world,Asia
Who is the first woman to go to space,Valentina Tereshkova
Who was the first president of the United States,George Washington
What is the tallest building in the world,The World Trade Center
How many nickels are in a dollar,20
What are the olympic medals made out of,Gold silver  bronze
What is the fastest land animal,Cheetah
Who was the first woman to fly across the Atlantic,Amelia Earhart
How many bones does a shark have,Zero
How many strings does a guitar have,Six
What school does Harry Potter go to,Hogwarts
What kind of animal only eats meat,A carnivore
What was the strongest house made of in the Three Little Pigs,Brick
What sport are you not allowed to use your hands in,Soccer
Which superhero swings on a web,Spider man
How many legs does a spider have,Eight
What is the capital of the United States,Washington D C
What is the largest mountain in the world,Mount Everest
